?cls	?def	?xrefs
<https://www.tib.eu/digitrubber#DIGITRUBBER_000481>	"Verfahren, üblicherweise auf Hitze basierend, bei dem Kautschuk durch eine Veränderung seiner chemischen Struktur (zum Beispiel Vernetzung) in einen Zustand überführt wird, in dem die elastischen Eigenschaften erzeugt, wiederhergestellt oder verbessert oder über einen größeren Tempe-raturbereich erweitert werden"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000493>	"unverarbeiteter, gemischter, vulkanisierter oder teilvulkanisierter Kautschuk in Form von Altgummierzeugnissen oder Fabrikabfall"@de	
<https://w3id.org/pmd/co/PMD_0001007>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000516>	"An assay with the objective to produce information about the Mooney viscosity of the material entity that is the evaluant, by physically examining it or its proxies."@en	
<http://purl.obolibrary.org/obo/CHEBI_33323>	"An alkali metal atom that has formula Fr."	
<http://purl.obolibrary.org/obo/CHEBI_22977>	"A zinc group element atom that has formula Cd."	
<http://purl.obolibrary.org/obo/CHEBI_27568>	"A chalcogen that has formula Se."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000420>	"A physical quality which inheres in a bearer by virtue of the ratio of the volume of a substance contained in the bearer and the bearer's own volume."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000438>		
<https://w3id.org/pmd/co/PMD_0000000>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000304>	"Handelsname für ein spezifisches Paraffinöl"@de	
<https://w3id.org/pmd/co/PMD_0000001>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000008>	"Polymerization is performed in a solution where polymer molecules are dissolved in a solvent (e.g. hexane)."@en	
<https://w3id.org/pmd/co/PMD_0000906>		
<http://purl.obolibrary.org/obo/CHEBI_33397>	"A d-block element atom that has formula Lr."	
<http://purl.obolibrary.org/obo/CHEBI_33348>	"A vanadium group element atom that has formula Ta."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000575>	"that component of an applied normal stress which is in phase with the normal strain, divided by the strain"@en	
<https://w3id.org/pmd/co/PMD_0020095>		
<http://purl.obolibrary.org/obo/CHEBI_33349>		
<https://w3id.org/pmd/co/PMD_0020071>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000520>	"Maß für die Viskosität eines Rohkautschuks oder einer Kautschukmischung, bestimmt mit einem Mooney-Scherscheibenviskosimeter"@de	
<http://purl.obolibrary.org/obo/NCIT_C106043>	"The natural extract of tropical rubber plants."@en	
<http://purl.allotrope.org/ontologies/process#AFP_0002309>	"The determination of the spectral absorbance of a solution. This method is often used to determine the concentration of a chemical in a solution. [CHMO]"@en	
<https://w3id.org/pmd/co/PMD_0000570>		
<https://w3id.org/pmd/co/PMD_0000594>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000437>		
<http://purl.obolibrary.org/obo/IAO_0000030>	"A generically dependent continuant that is about some thing."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000475>	"number of crosslinks per unit volume or unit mass of vulcanizate"@en	
<https://w3id.org/pmd/co/PMD_0001006>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000227>	"metadata that belong to a measurement. They complete the measurment data providing information about the condition under which the measurements have been taken place."@en	
<http://purl.obolibrary.org/obo/CHEBI_49882>	"A manganese group element atom that has formula Re."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000328>		
<http://purl.obolibrary.org/obo/IAO_0000184>	"A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis."@en	
<https://w3id.org/pmd/co/PMD_0000797>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000580>		
<https://w3id.org/pmd/co/PMD_0000555>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000471>		
<http://purl.obolibrary.org/obo/CHEBI_24859>	"Chemical element with atomic number 53."	
<https://w3id.org/pmd/co/PMD_0000579>		
<http://purl.allotrope.org/ontologies/result#AFR_0000413>	"A peak describes a part of a data distribution function at a definite range of the experimental parameter (independent variable) of the distribution function. This definition includes a single data point of the distribution function. [Allotrope]"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000299>	"Der Buchstabe \"S\" wird für Channel Blacks oder für Furnace Blacks verwendet, die so modifiziert wurden, dass sie die Vulkanisationsgeschwindigkeit verringern."@de	
<https://w3id.org/pmd/co/PMD_0000991>		
<https://w3id.org/pmd/co/PMD_0000882>		
<https://w3id.org/pmd/co/PMD_0000773>		
<https://w3id.org/pmd/co/PMD_0000531>		
<https://w3id.org/pmd/co/PMD_0020028>		
<https://w3id.org/pmd/co/PMD_0020113>		
<https://w3id.org/pmd/co/PMD_0020004>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000387>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000327>	"A member of the class of dithiocarbamate anions resulting from the deprotonation of both of the dithiocarbamic acid moieties of ethylenebis(dithiocarbamic acid). The major species at pH 7.3."@en	
<https://w3id.org/pmd/co/PMD_0050109>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000269>	"The viscosity of rubber using a standard test method and Mooney Viscometer."@en	
<http://purl.obolibrary.org/obo/CHEBI_22984>	"An alkaline earth metal atom that has formula Ca."	
<http://purl.obolibrary.org/obo/PATO_0000052>	"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000585>	"device that measures the progress of vulcanization in a test sample at the vulcanizing temperature"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000273>	"A polymer is a mixture, which is composed of macromolecules of different kinds and which may be differentiated by composition, length, degree of branching etc.."@en	
<http://purl.obolibrary.org/obo/CHEBI_49475>	"A noble gas atom that has formula Ar."	
<http://purl.obolibrary.org/obo/OBI_0000726>	"Peak matching is a data transformation performed on a dataset of a graph of ordered data points (e.g. a spectrum) with the objective of pattern matching local maxima above a noise threshold"@en	
<https://w3id.org/pmd/co/PMD_0000556>		
<http://purl.obolibrary.org/obo/NCIT_C69088>	"The amount paid, charged, or engaged to be paid, for purchasing goods, services and financial instruments."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000470>		
<https://w3id.org/pmd/co/PMD_0000798>		
<https://w3id.org/pmd/co/PMD_0000665>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000385>		
<https://w3id.org/pmd/co/PMD_0000992>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000023>	"Generic name for an instrument that applies amplitude sweeps to vulcanized rubber to assess the resistance of its network against large deformations."@en	
<https://w3id.org/pmd/co/PMD_0000883>		
<https://w3id.org/pmd/co/PMD_0000532>		
<https://w3id.org/pmd/co/PMD_0000774>		
<http://purl.obolibrary.org/obo/CHEBI_27594>	"A carbon group element atom that has formula C."	
<https://w3id.org/pmd/co/PMD_0000641>		
<https://w3id.org/pmd/co/PMD_0020138>		
<http://purl.obolibrary.org/obo/IAO_0000078>	"The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<https://w3id.org/pmd/co/PMD_0020114>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000386>		
<http://purl.obolibrary.org/obo/CHEBI_194539>	"A halogen atom with a symbol Ts and atomic number 117."	
<https://w3id.org/pmd/co/PMD_0050108>		
<http://purl.obolibrary.org/obo/CHEBI_24061>	"A halogen that has formula F."	
<http://purl.obolibrary.org/obo/CHEBI_33301>	"A pnictogen that has formula Bi."	
<https://w3id.org/pmd/co/PMD_0020029>		
<http://purl.obolibrary.org/obo/CHEBI_24532>	"A cyclic compound having as ring members atoms of carbon and at least of one other element."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000590>	"A concentration measurement assay with the objective to produce information about the concentration of ethylene in the material entity that is the evaluant, by physically examining it or its proxies."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000332>	"Geschwindigkeit, mit der eine Kautschukmischung nach Einsetzen der initialen Vulkanisation weitervernetzt"@de	
<http://purl.obolibrary.org/obo/STATO_0000237>	"The standard deviation of a random variable, statistical population, data set, or probability distribution is a measure of variation which correspond to the average distance from the mean of the data set to any given point of that dataset. It also corresponds to the square root of its variance."@en	
<http://purl.obolibrary.org/obo/CHEBI_28659>	"A pnictogen that has formula P."	
<https://w3id.org/pmd/co/PMD_0000666>		
<https://w3id.org/pmd/co/PMD_0000775>		
<https://w3id.org/pmd/co/PMD_0000799>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000582>		
<https://w3id.org/pmd/co/PMD_0000557>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000473>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000340>		
<https://w3id.org/pmd/co/PMD_0000642>		
<http://purl.obolibrary.org/obo/CHEBI_24433>	"A defined linked collection of atoms or a single atom within a molecular entity."	
<http://purl.obolibrary.org/obo/CHEBI_24433>	"A defined linked collection of atoms or a single atom within a molecular entity."@en	
<https://w3id.org/pmd/co/PMD_0000884>		
<https://w3id.org/pmd/co/PMD_0020115>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000082>	"Twin screw extruders have two screws, which have more shear and mixing capability than the single screw in a singel screw extruder. Depending on the direction of rotation of the screws, a distinction is made between counter-rotating and co-rotating twin-screw extruders."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000004>	"A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000474>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000365>		
<https://w3id.org/pmd/co/PMD_0020200>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000389>		
<http://purl.obolibrary.org/obo/CHEBI_36962>	"An organochalcogen compound is a compound containing at least one carbon-chalcogen bond."@en	
<http://purl.obolibrary.org/obo/OBI_0000659>	"A planned process with the objective of collecting a specimen."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000295>	"fester Mischungsbestandteil in Teilchenform, welcher aus technischen oder wirtschaftlichen Gründen zu einem relativ großen Anteil zu Kautschuk oder Kautschuklatex zugegeben werden kann"@de	
<https://w3id.org/pmd/co/PMD_0050107>		
<https://w3id.org/pmd/co/PMD_0020139>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000292>	"Terpolymer of ethylene, propylene and a diene with the remaining unsaturated portion of the polymerized diene in the side chain"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000481>	"process, usually involving heat, in which rubber, through a change in its chemical structure (for example, crosslinking), is converted to a condition in which the elastic properties are conferred or re-established or improved or extended over a greater range of temperatures"@en	
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/CHMO_0001685>	"The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process μst not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system. [ https://doi.org/10.1351/goldbook.M03945 ]"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000315>	"Handelsname für eine spezifische Stearinsäure"@de	
<http://purl.obolibrary.org/obo/OBI_0000727>	"A k-nearest neighbors is a data transformation which achieves a class discovery or partitioning objective, in which an input data object with vector y is assigned to a class label based upon the k closest training data set points to y; where k is the largest value that class label is assigned."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000572>	"ratio of the shear stress to the shear strain, where each can be represented by a complex number"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000336>	"Ein Rezept, das bei der Herstellung einer Gummimischung verwendet wird."@de	
<https://w3id.org/pmd/co/PMD_0000885>		
<https://w3id.org/pmd/co/PMD_0000534>		
<https://w3id.org/pmd/co/PMD_0000776>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000581>		
<http://purl.obolibrary.org/obo/OBI_0000067>	"a role that inheres in a material entity that is realized in an assay in which data is generated about the bearer of the evaluant role"@en	
<https://w3id.org/pmd/co/PMD_0000558>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000472>		
<https://w3id.org/pmd/co/PMD_0000667>		
<https://w3id.org/pmd/co/PMD_0000510>		
<https://w3id.org/pmd/co/PMD_0000861>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000226>	"Measurement using photometry"@en	
<https://w3id.org/pmd/co/PMD_0000994>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000480>	"condition of a vulcanizate during the course of vulcanization, measured in terms of its structure or properties"@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000022>	"Due to their structure, polymers do not easily “forget” stress after it is applied to them. “Relaxation”, in this context, refers to the time-dependent process of relaxing a stress applied to a polymer."@en	
<https://w3id.org/pmd/co/PMD_0020116>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000568>	"Molecular weight in g/mol, determined from molecular formula or sequence."@en	
<http://purl.obolibrary.org/obo/CHEBI_84292>	"Any organic sulfur anion resulting from the removal of a proton from any N-substituted dithiocarbamic acid."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000497>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000388>		
<http://purl.obolibrary.org/obo/NCIT_C17157>	"Emission of electromagnetic energy with a shorter frequency (longer wavelength) than that of the incident monochromatic light. Arises from the low probability absorption of quanta with a higher energy than that required for a transition: the difference in energy is emitted as a lower frequency (energy) photon. Allows analysis of vibrational and rotational energy levels using visible incident light. [ NCI ]"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000463>	"A device zone in which polymer material is shaped under pressure and temperature into a mold cavity."@en	
<http://purl.obolibrary.org/obo/CHEBI_33324>	"An alkaline earth metal atom that has formula Sr."	
<https://w3id.org/pmd/co/PMD_0050106>		
<http://purl.obolibrary.org/obo/CHEBI_27573>	"A carbon group element atom that has formula Si."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000017>	"ideal dimensions and shape of the\nextrudate defined by the manufacturer"@en	
<https://w3id.org/pmd/co/PMD_0000599>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000560>		
<https://w3id.org/pmd/co/PMD_0000793>		
<https://w3id.org/pmd/co/PMD_0000551>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000028>	"In physical testing, it refers to a deformation regime in which layers of fluid or solid deformed axially."@en	
<https://w3id.org/pmd/co/PMD_0000575>		
<https://w3id.org/pmd/co/PMD_0020202>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000149>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000563>	"Die Ölabsorptionszahl eines Rußes steht im Zusammenhang mit den Verarbeitungs- und Vulkanisationseigenschaften von Kautschukmischungen die den Ruß enthalten"@de	
<http://purl.obolibrary.org/obo/CHEBI_26835>		
<https://w3id.org/pmd/co/PMD_0000660>		
<http://purl.obolibrary.org/obo/CHEBI_33659>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000016>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000343>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000487>	"Vulkanisationszustand jenseits des Vulkanisationsoptimums"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000367>		
<https://w3id.org/pmd/co/PMD_0001998>		
<https://w3id.org/pmd/co/PMD_0050129>		
<https://w3id.org/pmd/co/PMD_0050105>		
<https://w3id.org/pmd/co/PMD_0000007>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000649>	"Highly Saturated Nitrile. A Higher performance solid rubber material than NBR, achieved through adding Hydrogen Atoms to the Butadiene Segments."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000373>	"Prozess der irreversiblen Reduzierung der Molmasse des Kautschuks, entweder im rohen oder im gemischten Zustand, durch das Einbringen mechanischer Arbeit (Scherung) und durch atmosphärischen Sauerstoff, manchmal unter Zuhilfenahme von Abbaumitteln und Wärme"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000261>	"The chemical element zinc"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000450>		
<https://w3id.org/pmd/co/PMD_0000552>		
<https://w3id.org/pmd/co/PMD_0000794>		
<https://w3id.org/pmd/co/PMD_0000661>		
<https://w3id.org/pmd/co/PMD_0000576>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000111>	"A cost group for all cost values occuring from entity sub-groups in the energy cost group and the associated factors"@en	
<https://w3id.org/pmd/co/PMD_0000770>		
<https://w3id.org/pmd/co/PMD_0020203>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000366>		
<http://purl.obolibrary.org/obo/CHEBI_27214>	"An actinoid atom that has formula U."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000055>	"Microcontrollers are compact integrated circuits designed to govern a specific operation in an embedded system. Typically a microcontroller includes a processor, memory and input/output peripherals on a single chip."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000371>	"Process of converting a rubber or rubber mix, rubber dough or coagulated latex into a form in which the thickness is small in proportion to the length"@en	
<https://w3id.org/pmd/co/PMD_0050128>		
<https://w3id.org/pmd/co/PMD_0050104>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000538>	"A viscosity measurement protocol for reliably reproducing the Mooney viscosity measurement assay."@en	
<http://purl.obolibrary.org/obo/CHEBI_33341>	"A titanium group element atom that has formula Ti."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000523>	"A viscosity unit which is a standard measure of the Mooney viscosity."@en	
<http://purl.obolibrary.org/obo/NCBITaxon_9606>		
<https://w3id.org/pmd/co/PMD_0000008>		
<https://w3id.org/pmd/co/PMD_0000577>		
<https://w3id.org/pmd/co/PMD_0000662>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000131>	"A person who supervises and coordinates the work of employees who set up and operate machine entity units in the system under investigation. Constitutes an entity of the human ressource and the production cost group."@en	
<https://w3id.org/pmd/co/PMD_0000771>		
<https://w3id.org/pmd/co/PMD_0000795>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000306>	"Mischungsbestandteil, der die Verarbeitbarkeit einer Kautschukmischung verbessert"@de	
<https://w3id.org/pmd/co/PMD_0000553>		
<http://purl.obolibrary.org/obo/OBI_0000947>	"is a role which inheres in a person or organization and is realized in in a planned process which provides access to training, materials or execution of protocols for an organization or person"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000369>		
<https://w3id.org/pmd/co/PMD_0020204>		
<https://w3id.org/pmd/co/PMD_0000880>		
<http://purl.obolibrary.org/obo/CHEBI_33391>	"An actinoid atom that has formula Bk."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000583>	"type of curemeter in which the force applied to the rubber compound is produced by an oscillating disc embedded in a test sample which is contained under pressure in a sealed cavity"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000534>	"A protocol which specifies the conditions, procedures, and instruments used for conducting a material processing in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the material processing."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000585>	"Gerät zur Messung des Fortschritts der Vulkanisation in einer Probe bei der Vulkanisationsstemperatur"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000454>		
<http://purl.obolibrary.org/obo/CHEBI_33343>	"A titanium group element atom that has formula Hf."	
<http://purl.obolibrary.org/obo/CHEBI_24431>	"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."	
<http://purl.obolibrary.org/obo/CHEBI_24431>	"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."@en	
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/CHMO_0001613>	"A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die."@en	
<https://w3id.org/pmd/co/PMD_0050127>		
<https://w3id.org/pmd/co/PMD_0050103>		
<http://purl.obolibrary.org/obo/CHEBI_194535>	"A pnictogen atom with a symbol Mc and atomic number 115."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000179>	"Any of several substances similar to natural rubber in properties and uses, produced synthetically. Constitutes an entity sub-group of the raw material entity."@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	"b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])"@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl#DIGITRUBBER1000030>	"A site that is a designated region within a technical device where a specific function of the device is realized."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000591>	"A concentration measurement assay with the objective to produce information about the concentration of ethylidene norbornene in the material entity that is the evaluant, by physically examining it or its proxies."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000001>	"In relation to optical measuring methods, a rating for the precision of a reconstructed measurement object."@en	
<http://www.ontology-of-units-of-measure.org/resource/om-2/Torque>	"Torque is the effectiveness of a force to produce rotation about an axis, measured by the product of the force and the perpendicular distance from the line of action of the force to the axis. (defined by om)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000308>	"Trade name for a specific antidegradant"@en	
<http://purl.obolibrary.org/obo/CHEBI_33344>	"A vanadium group element atom that has formula Nb."	
<https://w3id.org/pmd/co/PMD_0000578>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000094>	"Measured variable that indicates how high the pressure in the cylinder is during extrusion."@en	
<http://purl.obolibrary.org/obo/OBI_0000707>	"A decision tree building data transformation is a data transformation that has objective decision tree induction."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000561>		
<https://w3id.org/pmd/co/PMD_0000772>		
<https://w3id.org/pmd/co/PMD_0000881>		
<https://w3id.org/pmd/co/PMD_0000530>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000041>	"Elastomers are dimensionally stable but elastically deformable plastics. They are producest by vulcanization of rubber."@en	
<https://w3id.org/pmd/co/PMD_0000554>		
<http://purl.obolibrary.org/obo/CHEBI_25367>	"Any polyatomic entity that is an electrically neutral entity consisting of more than one atom."	
<https://w3id.org/pmd/co/PMD_0000796>		
<https://w3id.org/pmd/co/PMD_0000663>		
<https://w3id.org/pmd/co/PMD_0050102>		
<http://purl.obolibrary.org/obo/CHEBI_50860>	"Any molecular entity that contains carbon."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000368>		
<https://w3id.org/pmd/co/PMD_0000990>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000562>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000320>		
<http://purl.obolibrary.org/obo/CHEBI_35489>	"Compounds of structure RSSR in which R and R' are organic groups."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000344>		
<http://purl.obolibrary.org/obo/APOLLO_SV_00000796>	"A planned process that has a data set as its specified output."@en	
<http://purl.obolibrary.org/obo/IAO_0000101>	"An image is an affine projection to a two dimensional surface, of measurements of some quality of an entity or entities repeated at regular intervals across a spatial range, where the measurements are represented as color and luminosity on the projected on surface."@en	
<https://w3id.org/pmd/co/PMD_0020205>		
<https://w3id.org/pmd/co/PMD_0050126>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000435>	"difference between the dimensions of the cross-section of an extrudate and the corresponding dimensions of the die orifice, usually quantified as the percentage increase in the crosssectional area"@en	
<http://purl.obolibrary.org/obo/CHEBI_36358>	"An ion consisting of more than one atom."@en	
<https://w3id.org/pmd/co/PMD_0000769>		
<https://w3id.org/pmd/co/PMD_0000878>		
<https://w3id.org/pmd/co/PMD_0000527>		
<https://w3id.org/pmd/co/PMD_0000636>		
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/PATO_0000992>	"A physical quality of a fluid inhering in a bearer by virtue of the bearer's disposition to internal resistance to flow."@en	
<https://w3id.org/pmd/co/PMD_0000503>		
<https://w3id.org/pmd/co/PMD_0000963>		
<https://w3id.org/pmd/co/PMD_0000854>		
<https://w3id.org/pmd/co/PMD_0000612>		
<https://w3id.org/pmd/co/PMD_0000987>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000650>	"Families of synthetic rubbers derived from styrene and butadiene."@en	
<http://purl.obolibrary.org/obo/OBI_0000070>	"A planned process that has the objective to produce information about a material entity (the evaluant) by examining it."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000390>		
<https://w3id.org/pmd/co/PMD_0050101>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000584>	"type of curemeter in which the force applied to the rubber compound is produced by the oscillation of one of the two dies forming the cavity in which the test sample is enclosed"@en	
<https://w3id.org/pmd/co/PMD_0020056>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000643>	"An atom or group of atoms within a molecule that has similar chemical properties whenever it appears in various compounds. Even if other parts of the molecule are quite different, certain functional groups tend to react in certain ways."@en	
<https://w3id.org/pmd/co/PMD_0020032>		
<http://purl.obolibrary.org/obo/CHEBI_30217>	"A s-block element atom that has formula He."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000569>	"The acid value is a chemical quantity used to characterise acidic components in fats or oils. It indicates the mass of potassium hydroxide (in mg) required to neutralise the free fatty acids contained in 1 g of fat."@en	
<http://purl.obolibrary.org/obo/OBI_0000453>	"Measure function is a function that is borne by a processed material  and realized in a process in which information about some entity is expressed relative to some reference."@en	
<http://purl.obolibrary.org/obo/PATO_0001025>	"A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000429>	"Teil eines Extruders, durch den das Material gedrückt wird und um ein Profil des Extrudats zu formen"@de	
<https://w3id.org/pmd/co/PMD_0050149>		
<https://w3id.org/pmd/co/PMD_0050125>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000459>	"A motor is a machine designed to convert one or more forms of energy into mechanical energy."@en	
<https://w3id.org/pmd/co/PMD_0000988>		
<https://w3id.org/pmd/co/PMD_0000637>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000338>	"gründliche Mischung von Kautschuken oder anderen polymerbildenden Materialien mit allen Bestandteilen, die für das fertige Produkt notwendig sind"@de	
<https://w3id.org/pmd/co/PMD_0000504>		
<https://w3id.org/pmd/co/PMD_0000528>		
<https://w3id.org/pmd/co/PMD_0000940>		
<https://w3id.org/pmd/co/PMD_0000964>		
<https://w3id.org/pmd/co/PMD_0000613>		
<https://w3id.org/pmd/co/PMD_0000855>		
<http://purl.obolibrary.org/obo/IAO_0000010>	"Software is a plan specification composed of a series of instructions that can be \ninterpreted by or directly executed by a processing unit."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000482>	"pressurized vessel used for vulcanizing rubber in a vapour or gas"@en	
<https://w3id.org/pmd/co/PMD_0050124>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000479>	"〈act of〉 insertion of crosslinks between or within rubber chains to give a network structure"@en	
<http://purl.obolibrary.org/obo/BFO_0000003>	"An entity that has temporal parts and that happens, unfolds or develops through time."@en	
<https://w3id.org/pmd/co/PMD_0050100>		
<https://w3id.org/pmd/co/PMD_0020166>		
<https://w3id.org/pmd/co/PMD_0020057>		
<https://w3id.org/pmd/co/PMD_0020142>		
<https://w3id.org/pmd/co/PMD_0020033>		
<http://purl.obolibrary.org/obo/BFO_0000182>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000316>	"compounding ingredient used in small amounts with a vulcanizing agent to increase the speed of vulcanization and/or enhance the physical properties of the vulcanizate"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000523>	"Eine Viskositätseinheit, die ein Standardmaß für die Mooney-Viskosität ist."@de	
